date,pe,pb,roe,dr
20010402,0.000000,0.000000,0.000000,0.000000
20010403,0.000000,0.000000,0.000000,0.000000
20010404,0.000000,0.000000,0.000000,0.000000
20010405,0.000000,0.000000,0.000000,0.000000
20010406,0.000000,0.000000,0.000000,0.000000
20010409,0.000000,0.000000,0.000000,0.000000
20010410,0.000000,0.000000,0.000000,0.000000
20010411,0.000000,0.000000,0.000000,0.000000
20010412,0.000000,0.000000,0.000000,0.000000
20010413,0.000000,0.000000,0.000000,0.000000
20010416,0.000000,0.000000,0.000000,0.000000
20010417,0.000000,0.000000,0.000000,0.000000
20010418,0.000000,0.000000,0.000000,0.000000
20010419,0.000000,0.000000,0.000000,0.000000
20010420,0.000000,0.000000,0.000000,0.000000
20010423,0.000000,0.000000,0.000000,0.000408
20010424,0.000000,0.000000,0.000000,0.000330
20010425,0.000000,0.000000,0.000000,0.000331
20010426,0.000000,0.000000,0.000000,0.000409
20010427,0.000000,0.000000,0.000000,0.000720
20010430,0.000000,0.000000,0.000000,0.000822
20010508,0.000000,0.000000,0.000000,0.000719
20010509,0.000000,0.000000,0.000000,0.000866
20010510,0.000000,0.000000,0.000000,0.000856
20010511,0.000000,0.000000,0.000000,0.000810
20010514,0.000000,0.000000,0.000000,0.000861
20010515,0.000000,0.000000,0.000000,0.000854
20010516,0.000000,0.000000,0.000000,0.001002
20010517,0.000000,0.000000,0.000000,0.001020
20010518,0.000000,0.000000,0.000000,0.001101
20010521,0.000000,0.000000,0.000000,0.001168
20010522,0.000000,0.000000,0.000000,0.001258
20010523,0.000000,0.000000,0.000000,0.001271
20010524,0.000000,0.000000,0.000000,0.001294
20010525,0.000000,0.000000,0.000000,0.001323
20010528,0.000000,0.000000,0.000000,0.001398
20010529,0.000000,0.000000,0.000000,0.001442
20010530,0.000000,0.000000,0.000000,0.001437
20010531,0.000000,0.000000,0.000000,0.001516
20010601,0.000000,0.000000,0.000000,0.001520
20010604,0.000000,0.000000,0.000000,0.001490
20010605,0.000000,0.000000,0.000000,0.001522
20010606,0.000000,0.000000,0.000000,0.001577
20010607,0.000000,0.000000,0.000000,0.001659
20010608,0.000000,0.000000,0.000000,0.001691
20010611,0.000000,0.000000,0.000000,0.001871
20010612,0.000000,0.000000,0.000000,0.001867
20010613,0.000000,0.000000,0.000000,0.001851
20010614,0.000000,0.000000,0.000000,0.001963
20010615,0.000000,0.000000,0.000000,0.001959
20010618,0.000000,0.000000,0.000000,0.002135
20010619,0.000000,0.000000,0.000000,0.002135
20010620,0.000000,0.000000,0.000000,0.002061
20010621,0.000000,0.000000,0.000000,0.002163
20010622,0.000000,0.000000,0.000000,0.002144
20010625,0.000000,0.000000,0.000000,0.002196
20010626,0.000000,0.000000,0.000000,0.002213
20010627,0.000000,0.000000,0.000000,0.002186
20010628,0.000000,0.000000,0.000000,0.002268
20010629,0.000000,0.000000,0.000000,0.002315
20010702,67.491550,5.754490,0.080283,0.002333
20010703,67.293368,5.762788,0.079597,0.002231
20010704,66.957562,5.738324,0.079358,0.002241
20010705,66.293613,5.669209,0.079358,0.002282
20010706,65.555555,5.655842,0.079358,0.002283
20010709,65.927419,5.653297,0.079358,0.002302
20010710,66.655907,5.710037,0.079293,0.002261
20010711,65.944442,5.638767,0.079422,0.002294
20010712,65.735714,5.636519,0.079358,0.002293
20010713,65.143579,5.632420,0.079358,0.002257
20010716,65.330575,5.590886,0.079358,0.002270
20010717,64.944442,5.594203,0.079293,0.002286
20010718,65.011903,5.613890,0.078925,0.002298
20010719,65.453514,5.631204,0.079121,0.002300
20010720,65.883832,5.682425,0.079269,0.002251
20010723,66.771358,5.695962,0.078853,0.002252
20010724,65.374150,5.581395,0.078997,0.002293
20010725,65.295308,5.532184,0.078925,0.002314
20010726,64.256599,5.487204,0.078785,0.002358
20010727,62.875538,5.418033,0.078853,0.002350
20010730,60.192135,5.070732,0.078218,0.002518
20010731,59.861591,5.015974,0.078067,0.002572
20010801,62.170582,5.187113,0.077823,0.002477
20010802,61.518516,5.119454,0.077603,0.002512
20010803,60.887335,5.132993,0.077343,0.002472
20010806,59.166664,4.962963,0.077064,0.002584
20010807,59.999998,4.993827,0.076307,0.002546
20010808,59.999998,4.984722,0.076075,0.002573
20010809,61.111109,5.059602,0.075505,0.002516
20010810,61.316849,5.071257,0.074939,0.002463
20010813,62.999999,5.084388,0.073991,0.002469
20010814,63.788749,5.018435,0.073536,0.002521
20010815,65.178571,5.040248,0.073239,0.002482
20010816,63.095240,4.959893,0.073090,0.002568
20010817,62.827588,4.956268,0.073090,0.002510
20010820,64.767857,5.009202,0.072667,0.002542
20010821,64.953466,5.019231,0.072652,0.002528
20010822,63.801428,4.895467,0.072610,0.002585
20010823,64.369997,4.905512,0.072639,0.002575
20010824,63.480914,4.891827,0.072414,0.002582
20010827,61.437639,4.748571,0.072639,0.002703
20010828,62.725978,4.753959,0.072349,0.002681
20010829,62.875694,4.799556,0.072391,0.002679
20010830,62.199993,4.775362,0.072368,0.002691
20010831,61.975468,4.771144,0.072581,0.002717
20010903,61.206900,4.746938,0.072610,0.002736
20010904,62.833963,4.858556,0.072391,0.002653
20010905,63.058774,4.859957,0.072497,0.002659
20010906,63.283977,4.856680,0.072497,0.002655
20010907,60.709677,4.731884,0.072034,0.002650
20010910,62.906906,4.832962,0.072219,0.002667
20010911,62.782608,4.831731,0.072639,0.002667
20010912,61.796147,4.769966,0.072497,0.002701
20010913,61.961777,4.761674,0.072497,0.002710
20010914,60.309556,4.708861,0.072581,0.002710
20010917,60.410426,4.656319,0.072127,0.002779
20010918,60.773483,4.709877,0.072330,0.002774
20010919,61.166666,4.753568,0.072497,0.002787
20010920,60.994477,4.703125,0.072639,0.002789
20010921,59.808611,4.705069,0.072368,0.002778
20010924,60.336700,4.611486,0.072581,0.002849
20010925,59.799993,4.583333,0.072414,0.002837
20010926,59.067145,4.512364,0.072497,0.002881
20010927,58.749999,4.508621,0.072368,0.002924
20010928,58.222406,4.441379,0.072219,0.002916
20011008,0.000000,0.000000,0.000000,0.003008
20011009,0.000000,0.000000,0.000000,0.002991
20011010,0.000000,0.000000,0.000000,0.003115
20011011,0.000000,0.000000,0.000000,0.003233
20011012,0.000000,0.000000,0.000000,0.003113
20011015,0.000000,0.000000,0.000000,0.003175
20011016,0.000000,0.000000,0.000000,0.003186
20011017,0.000000,0.000000,0.000000,0.003221
20011018,0.000000,0.000000,0.000000,0.003316
20011019,0.000000,0.000000,0.000000,0.003367
20011022,0.000000,0.000000,0.000000,0.003546
20011023,0.000000,0.000000,0.000000,0.003224
20011024,0.000000,0.000000,0.000000,0.003069
20011025,0.000000,0.000000,0.000000,0.003170
20011026,0.000000,0.000000,0.000000,0.003129
20011029,0.000000,0.000000,0.000000,0.003151
20011030,0.000000,0.000000,0.000000,0.003169
20011031,0.000000,0.000000,0.000000,0.003164
20011101,0.000000,0.000000,0.000000,0.003146
20011102,0.000000,0.000000,-0.000000,0.003130
20011105,0.000000,0.000000,0.000000,0.003214
20011106,0.000000,0.000000,0.000000,0.003190
20011107,0.000000,0.000000,0.000000,0.003410
20011108,0.000000,0.000000,0.000000,0.003374
20011109,0.000000,0.000000,0.000000,0.003295
20011112,0.000000,0.000000,0.000000,0.003367
20011113,0.000000,0.000000,0.000000,0.003374
20011114,0.000000,0.000000,-0.000000,0.003340
20011115,0.000000,0.000000,0.000000,0.003357
20011116,0.000000,0.000000,0.000000,0.003249
20011119,0.000000,0.000000,-0.000000,0.003221
20011120,0.000000,0.000000,0.000000,0.003165
20011121,0.000000,0.000000,0.000000,0.003149
20011122,0.000000,0.000000,0.000000,0.003119
20011123,0.000000,0.000000,0.000000,0.003086
20011126,0.000000,0.000000,0.000000,0.003151
20011127,0.000000,0.000000,0.000000,0.003115
20011128,0.000000,0.000000,0.000000,0.003085
20011129,0.000000,0.000000,0.000000,0.003053
20011130,0.000000,0.000000,0.000000,0.002983
20011203,0.000000,0.000000,0.000000,0.002996
20011204,0.000000,0.000000,0.000000,0.002976
20011205,0.000000,0.000000,0.000000,0.003032
20011206,0.000000,0.000000,0.000000,0.002994
20011207,0.000000,0.000000,0.000000,0.002940
20011210,0.000000,0.000000,0.000000,0.002984
20011211,0.000000,0.000000,0.000000,0.003041
20011212,0.000000,0.000000,0.000000,0.003069
20011213,0.000000,0.000000,0.000000,0.003128
20011214,0.000000,0.000000,0.000000,0.003137
20011217,0.000000,0.000000,-0.000000,0.003169
20011218,0.000000,0.000000,-0.000000,0.003145
20011219,0.000000,0.000000,0.000000,0.003175
20011220,0.000000,0.000000,0.000000,0.003249
20011221,0.000000,0.000000,0.000000,0.003210
20011224,0.000000,0.000000,0.000000,0.003304
20011225,0.000000,0.000000,0.000000,0.003284
20011226,0.000000,0.000000,0.000000,0.003248
20011227,0.000000,0.000000,0.000000,0.003281
20011228,0.000000,0.000000,0.000000,0.003263
20011231,0.000000,0.000000,0.000000,0.003247
20020104,0.000000,0.000000,0.000000,0.003278
20020107,0.000000,0.000000,0.000000,0.003357
20020108,0.000000,0.000000,0.000000,0.003366
20020109,0.000000,0.000000,0.000000,0.003434
20020110,0.000000,0.000000,0.000000,0.003403
20020111,0.000000,0.000000,0.000000,0.003447
20020114,0.000000,0.000000,0.000000,0.003663
20020115,0.000000,0.000000,0.000000,0.003747
20020116,0.000000,0.000000,0.000000,0.003667
20020117,0.000000,0.000000,0.000000,0.003872
20020118,0.000000,0.000000,0.000000,0.003890
20020121,0.000000,0.000000,0.000000,0.004147
20020122,0.000000,0.000000,0.000000,0.004235
20020123,0.000000,0.000000,0.000000,0.003903
20020124,0.000000,0.000000,0.000000,0.003875
20020125,0.000000,0.000000,0.000000,0.003763
20020128,0.000000,0.000000,0.000000,0.004180
20020129,0.000000,0.000000,0.000000,0.004045
20020130,0.000000,0.000000,0.000000,0.004006
20020131,0.000000,0.000000,0.000000,0.003722
20020201,0.000000,0.000000,0.000000,0.003598
20020204,0.000000,0.000000,0.000000,0.003611
20020205,0.000000,0.000000,0.000000,0.003613
20020206,0.000000,0.000000,0.000000,0.003738
20020207,0.000000,0.000000,0.000000,0.003650
20020208,0.000000,0.000000,0.000000,0.003641
20020225,0.000000,0.000000,0.000000,0.003630
20020226,0.000000,0.000000,0.000000,0.003602
20020227,0.000000,0.000000,0.000000,0.003584
20020228,0.000000,0.000000,0.000000,0.003593
20020301,0.000000,0.000000,0.000000,0.003596
20020304,0.000000,0.000000,0.000000,0.003542
20020305,0.000000,0.000000,0.000000,0.003463
20020306,0.000000,0.000000,0.000000,0.003448
20020307,0.000000,0.000000,0.000000,0.003307
20020308,0.000000,0.000000,0.000000,0.003188
20020311,0.000000,0.000000,0.000000,0.003208
20020312,0.000000,0.000000,0.000000,0.003208
20020313,0.000000,0.000000,0.000000,0.003287
20020314,0.000000,0.000000,0.000000,0.003235
20020315,0.000000,0.000000,0.000000,0.003294
20020318,0.000000,0.000000,0.000000,0.003300
20020319,0.000000,0.000000,0.000000,0.003177
20020320,0.000000,0.000000,0.000000,0.003115
20020321,0.000000,0.000000,0.000000,0.003108
20020322,0.000000,0.000000,0.000000,0.003137
20020325,0.000000,0.000000,0.000000,0.003101
20020326,0.000000,0.000000,0.000000,0.003184
20020327,0.000000,0.000000,0.000000,0.003155
20020328,22.483864,2.016335,0.003265,0.003139
20020329,24.695832,2.326006,0.009400,0.003222
20020401,53.757224,4.040089,0.069188,0.003220
20020402,53.143940,3.960870,0.069444,0.003287
20020403,52.942914,3.969056,0.069561,0.003268
20020404,54.539048,4.101818,0.069444,0.003196
20020405,54.506478,4.086614,0.068615,0.003221
20020408,55.276596,4.100529,0.068303,0.003232
20020409,55.677012,4.195085,0.067880,0.003114
20020410,56.405230,4.203704,0.067164,0.003145
20020411,55.331154,4.112278,0.067413,0.003186
20020412,55.960981,4.166667,0.066849,0.003112
20020415,55.686111,4.154545,0.066667,0.003253
20020416,55.680132,4.117080,0.065766,0.003202
20020417,55.585606,4.111542,0.065766,0.003250
20020418,55.400001,4.135802,0.065225,0.003154
20020419,55.391303,4.101266,0.064516,0.003202
20020422,55.405405,4.053719,0.064039,0.003230
20020423,54.631580,4.039735,0.063664,0.003205
20020424,54.174886,3.981818,0.063618,0.003284
20020425,54.281250,4.058863,0.063589,0.003243
20020426,55.589821,4.082987,0.062910,0.003211
20020429,56.249999,4.150820,0.062528,0.003178
20020430,56.585020,4.154274,0.062314,0.003207
20020508,56.055553,4.111570,0.062361,0.003274
20020509,55.953685,4.154341,0.062500,0.003154
20020510,56.666666,4.093991,0.061950,0.003216
20020513,55.135134,4.025362,0.061954,0.003255
20020514,54.752884,4.015332,0.062246,0.003286
20020515,54.405171,3.974985,0.062314,0.003266
20020516,52.520269,3.814633,0.062246,0.003415
20020517,52.501440,3.852399,0.062314,0.003383
20020520,51.410258,3.819444,0.062555,0.003516
20020521,52.905981,3.922738,0.062246,0.003419
20020522,52.699148,3.851817,0.062314,0.003449
20020523,52.656861,3.846491,0.062430,0.003469
20020524,51.263159,3.789855,0.062500,0.003619
20020527,51.935646,3.804571,0.062342,0.003514
20020528,52.117647,3.832215,0.062304,0.003561
20020529,50.555554,3.713755,0.062500,0.003619
20020530,50.437227,3.718403,0.062361,0.003667
20020531,50.360000,3.717228,0.061947,0.003691
20020603,49.280417,3.604478,0.061954,0.003766
20020604,49.134614,3.630435,0.061947,0.003733
20020605,47.801468,3.524904,0.061947,0.003823
20020606,50.440477,3.700270,0.061856,0.003691
20020607,50.622368,3.740169,0.062071,0.003675
20020610,49.878055,3.647182,0.062189,0.003711
