date,3month,6month,1year,3year,5year,7year,10year,30year
20060301,1.5050,1.5891,1.6800,2.0052,2.3640,2.6500,2.9000,3.5000
20060302,1.4650,1.5200,1.6900,2.0200,2.4400,2.6600,2.9000,3.5100
20060303,1.4550,1.5100,1.6800,2.0000,2.4200,2.6400,2.8700,3.5000
20060306,1.5000,1.5600,1.7300,2.0400,2.4600,2.6800,2.9300,3.5400
20060307,1.4650,1.5300,1.7100,2.0200,2.4300,2.6500,2.9000,3.5200
20060308,1.4500,1.5200,1.6900,2.0100,2.4000,2.6100,2.8800,3.4800
20060309,1.4550,1.5300,1.6800,2.0100,2.3900,2.6100,2.8800,3.4800
20060310,1.4600,1.5300,1.6700,2.0200,2.4000,2.6100,2.8900,3.4800
20060313,1.4700,1.5400,1.6800,2.0300,2.4100,2.6100,2.9000,3.4800
20060314,1.4800,1.5500,1.6900,2.0200,2.4000,2.6100,2.9000,3.4900
20060315,1.5000,1.5700,1.7100,2.0300,2.4000,2.6000,2.9100,3.5000
20060316,1.5100,1.5800,1.7200,2.0200,2.3900,2.6000,2.9100,3.5100
20060317,1.4900,1.5600,1.7000,2.0100,2.3700,2.5900,2.9200,3.5000
20060320,1.5100,1.5800,1.7100,2.0200,2.3800,2.6000,2.9300,3.5200
20060321,1.5000,1.5700,1.7000,2.0100,2.3700,2.5900,2.9200,3.5100
20060322,1.5150,1.5800,1.7100,2.0300,2.3850,2.6000,2.9300,3.5200
20060323,1.5100,1.6000,1.6900,2.1000,2.4900,2.7100,2.9120,3.5300
20060324,1.4900,1.5800,1.6800,2.0898,2.4800,2.7230,2.9000,3.5200
20060327,1.5000,1.6100,1.7141,2.1500,2.5537,2.6600,2.9200,3.5200
20060328,1.4856,1.6000,1.7003,2.1058,2.5631,2.6500,2.9200,3.5200
20060329,1.4932,1.6200,1.7029,2.1900,2.5605,2.6700,2.9400,3.5000
20060330,1.5100,1.6400,1.7200,2.1404,2.4655,2.6700,2.9400,3.5000
20060331,1.5095,1.6400,1.7100,2.1355,2.5669,2.6800,2.9400,3.5000
20060403,1.5023,1.6400,1.7200,1.9968,2.4687,2.6847,2.9200,3.5200
20060404,1.4889,1.6154,1.7254,2.0001,2.4804,2.7220,2.9200,3.5300
20060405,1.4850,1.6000,1.7020,2.1657,2.4963,2.6700,2.9100,3.5100
20060406,1.4725,1.5800,1.6916,2.1731,2.4873,2.6700,2.9400,3.5000
20060407,1.4500,1.5500,1.6400,2.0500,2.4800,2.6900,2.9291,3.5000
20060410,1.4500,1.5500,1.6551,2.1091,2.5678,2.6900,2.9300,3.5100
20060411,1.4700,1.5700,1.6661,2.1549,2.5816,2.7069,2.9700,3.5300
20060412,1.4900,1.5900,1.6892,2.1656,2.5865,2.7130,2.9800,3.5483
20060413,1.4800,1.5700,1.7000,2.1577,2.5866,2.7200,2.9405,3.5500
20060414,1.4900,1.5800,1.7083,2.1731,2.6051,2.7300,2.9500,3.5500
20060417,1.5150,1.6000,1.7050,2.2000,2.6369,2.7500,2.9400,3.5800
20060418,1.5450,1.6400,1.7077,2.2500,2.6293,2.7800,3.0100,3.6020
20060419,1.5450,1.6300,1.7000,2.2400,2.6365,2.7770,3.0100,3.6020
20060420,1.5350,1.6200,1.7074,2.2694,2.6029,2.7718,3.0000,3.6000
20060421,1.5450,1.6200,1.7200,2.2471,2.6050,2.7600,3.0480,3.6000
20060424,1.5550,1.6200,1.7023,2.2738,2.6076,2.7248,3.0500,3.6000
20060425,1.5600,1.6300,1.7205,2.2757,2.6217,2.7888,3.0600,3.6500
20060426,1.5683,1.6500,1.7000,2.2709,2.6200,2.7900,3.0500,3.6500
20060427,1.5400,1.6300,1.7331,2.2714,2.6000,2.7800,3.0100,3.6000
20060428,1.5200,1.6200,1.7210,2.2800,2.5600,2.7400,3.0100,3.6000
20060429,1.5396,1.6500,1.7192,2.2595,2.5579,2.7300,3.0000,3.6000
20060430,1.5300,1.6300,1.7250,2.2400,2.5400,2.7200,3.0000,3.6000
20060508,1.5420,1.6500,1.7100,2.2400,2.5430,2.7500,3.0200,3.6000
20060509,1.5200,1.6300,1.7100,2.2200,2.5200,2.7200,3.0000,3.5800
20060510,1.4950,1.6000,1.6883,2.2341,2.5392,2.7000,3.0000,3.6000
20060511,1.5199,1.6200,1.6944,2.1890,2.5200,2.6471,3.0000,3.5500
20060512,1.5350,1.6400,1.7400,2.2131,2.5500,2.7104,3.0200,3.5750
20060515,1.5600,1.6500,1.7700,2.2218,2.5700,2.7045,3.0300,3.6000
20060516,1.5700,1.6800,1.7800,2.2255,2.4800,2.7269,3.0200,3.6200
20060517,1.5450,1.6500,1.7500,2.2400,2.4500,2.7000,3.0000,3.6000
20060518,1.5520,1.6600,1.7401,2.2500,2.4500,2.7100,3.0000,3.6000
20060519,1.5490,1.6600,1.7379,2.2300,2.4500,2.7000,2.9900,3.6200
20060522,1.5747,1.6800,1.7293,2.2500,2.4500,2.7100,3.0000,3.6200
20060523,1.5807,1.6800,1.7220,2.2700,2.4600,2.7300,3.0200,3.6500
20060524,1.5701,1.6700,1.7206,2.2500,2.4500,2.6700,3.0000,3.6200
20060525,1.5453,1.6500,1.7299,2.2500,2.4600,2.6700,3.0000,3.6000
20060526,1.5431,1.6500,1.7306,2.2500,2.4500,2.6700,3.0000,3.5960
20060529,1.5450,1.6500,1.7316,2.2400,2.4600,2.6900,3.0300,3.6300
20060530,1.5425,1.6500,1.7357,2.2300,2.4500,2.6800,3.0200,3.6300
20060531,1.5475,1.6550,1.7373,2.2400,2.4500,2.7000,3.0200,3.6200
20060601,1.5628,1.6700,1.7451,2.2500,2.4600,2.7500,3.0300,3.6300
20060602,1.5825,1.6900,1.7745,2.2800,2.4800,2.7600,3.0500,3.6500
20060605,1.6059,1.7200,1.7980,2.3200,2.5000,2.7500,3.0300,3.6600
20060606,1.6064,1.7200,1.8020,2.3300,2.5400,2.7700,3.0200,3.6700
20060607,1.6400,1.7300,1.8029,2.3500,2.5600,2.7900,3.0500,3.6810
20060608,1.6550,1.7500,1.8121,2.3300,2.5500,2.7800,3.0500,3.6500
20060609,1.6645,1.7590,1.8439,2.3300,2.5500,2.7600,3.0300,3.6500
20060612,1.6600,1.7500,1.8874,2.3200,2.5600,2.7700,3.0500,3.6500
20060613,1.6300,1.7800,1.8963,2.3800,2.6515,2.7800,3.0800,3.7000
20060614,1.6450,1.7900,1.9300,2.3900,2.6951,2.7800,3.0900,3.7000
20060615,1.6600,1.8000,1.9500,2.4000,2.6744,2.7900,3.1000,3.7200
20060616,1.6550,1.8000,1.9500,2.4300,2.6587,2.7900,3.1000,3.7000
20060619,1.6700,1.8100,2.0000,2.4500,2.7264,2.8000,3.1200,3.7200
20060620,1.6950,1.8400,2.0000,2.4800,2.7000,2.8500,3.1000,3.7000
20060621,1.7350,1.9000,2.0300,2.5000,2.7200,2.9000,3.1500,3.7300
20060622,1.7450,1.9100,2.0300,2.4800,2.7250,2.9000,3.1200,3.7500
20060623,1.7375,1.9000,2.0200,2.4900,2.7400,2.9000,3.1300,3.7500
20060626,1.7225,1.8800,2.0100,2.4800,2.7200,2.9000,3.1500,3.7800
