calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
19910703,1,19910702,0,0,0,0
19910704,1,19910703,0,0,0,0
19910705,1,19910704,1,0,0,0
19910706,0,19910705,0,0,0,0
19910707,0,19910705,0,0,0,0
19910708,1,19910705,0,0,0,0
19910709,1,19910708,0,0,0,0
19910710,1,19910709,0,0,0,0
19910711,1,19910710,0,0,0,0
19910712,1,19910711,1,0,0,0
19910713,0,19910712,0,0,0,0
19910714,0,19910712,0,0,0,0
19910715,1,19910712,0,0,0,0
19910716,1,19910715,0,0,0,0
19910717,1,19910716,0,0,0,0
19910718,1,19910717,0,0,0,0
19910719,1,19910718,1,0,0,0
19910720,0,19910719,0,0,0,0
19910721,0,19910719,0,0,0,0
19910722,1,19910719,0,0,0,0
19910723,1,19910722,0,0,0,0
19910724,1,19910723,0,0,0,0
19910725,1,19910724,0,0,0,0
19910726,1,19910725,1,0,0,0
19910727,0,19910726,0,0,0,0
19910728,0,19910726,0,0,0,0
19910729,1,19910726,0,0,0,0
19910730,1,19910729,0,0,0,0
19910731,1,19910730,0,1,0,0
19910801,1,19910731,0,0,0,0
19910802,1,19910801,1,0,0,0
19910803,0,19910802,0,0,0,0
19910804,0,19910802,0,0,0,0
19910805,1,19910802,0,0,0,0
19910806,1,19910805,0,0,0,0
19910807,1,19910806,0,0,0,0
19910808,1,19910807,0,0,0,0
19910809,1,19910808,1,0,0,0
19910810,0,19910809,0,0,0,0
19910811,0,19910809,0,0,0,0
19910812,1,19910809,0,0,0,0
19910813,1,19910812,0,0,0,0
19910814,1,19910813,0,0,0,0
19910815,1,19910814,0,0,0,0
19910816,1,19910815,1,0,0,0
19910817,0,19910816,0,0,0,0
19910818,0,19910816,0,0,0,0
19910819,1,19910816,0,0,0,0
19910820,1,19910819,0,0,0,0
19910821,1,19910820,0,0,0,0
19910822,1,19910821,0,0,0,0
19910823,1,19910822,1,0,0,0
19910824,0,19910823,0,0,0,0
19910825,0,19910823,0,0,0,0
19910826,1,19910823,0,0,0,0
19910827,1,19910826,0,0,0,0
19910828,1,19910827,0,0,0,0
19910829,1,19910828,0,0,0,0
19910830,1,19910829,1,1,0,0
19910831,0,19910830,0,0,0,0
19910901,0,19910830,0,0,0,0
19910902,1,19910830,0,0,0,0
19910903,1,19910902,0,0,0,0
19910904,1,19910903,0,0,0,0
19910905,1,19910904,0,0,0,0
19910906,1,19910905,1,0,0,0
19910907,0,19910906,0,0,0,0
19910908,0,19910906,0,0,0,0
19910909,1,19910906,0,0,0,0
19910910,1,19910909,0,0,0,0
19910911,1,19910910,0,0,0,0
19910912,1,19910911,0,0,0,0
19910913,1,19910912,1,0,0,0
19910914,0,19910913,0,0,0,0
19910915,0,19910913,0,0,0,0
19910916,1,19910913,0,0,0,0
19910917,1,19910916,0,0,0,0
19910918,1,19910917,0,0,0,0
19910919,1,19910918,0,0,0,0
19910920,1,19910919,1,0,0,0
19910921,0,19910920,0,0,0,0
19910922,0,19910920,0,0,0,0
19910923,1,19910920,0,0,0,0
19910924,1,19910923,0,0,0,0
19910925,1,19910924,0,0,0,0
19910926,1,19910925,0,0,0,0
19910927,1,19910926,1,0,0,0
19910928,0,19910927,0,0,0,0
19910929,0,19910927,0,0,0,0
19910930,1,19910927,0,1,1,0
19911001,0,19910930,0,0,0,0
19911002,0,19910930,0,0,0,0
19911003,1,19910930,0,0,0,0
19911004,1,19911003,1,0,0,0
19911005,0,19911004,0,0,0,0
19911006,0,19911004,0,0,0,0
19911007,1,19911004,0,0,0,0
19911008,1,19911007,0,0,0,0
19911009,1,19911008,0,0,0,0
19911010,1,19911009,0,0,0,0
19911011,1,19911010,1,0,0,0
19911012,0,19911011,0,0,0,0
19911013,0,19911011,0,0,0,0
19911014,1,19911011,0,0,0,0
19911015,1,19911014,0,0,0,0
19911016,1,19911015,0,0,0,0
19911017,1,19911016,0,0,0,0
19911018,1,19911017,1,0,0,0
19911019,0,19911018,0,0,0,0
19911020,0,19911018,0,0,0,0
19911021,1,19911018,0,0,0,0
19911022,1,19911021,0,0,0,0
19911023,1,19911022,0,0,0,0
19911024,1,19911023,0,0,0,0
19911025,1,19911024,1,0,0,0
19911026,0,19911025,0,0,0,0
19911027,0,19911025,0,0,0,0
19911028,1,19911025,0,0,0,0
19911029,1,19911028,0,0,0,0
19911030,1,19911029,0,0,0,0
19911031,1,19911030,0,1,0,0
19911101,1,19911031,1,0,0,0
19911102,0,19911101,0,0,0,0
19911103,0,19911101,0,0,0,0
19911104,1,19911101,0,0,0,0
19911105,1,19911104,0,0,0,0
19911106,1,19911105,0,0,0,0
19911107,1,19911106,0,0,0,0
19911108,1,19911107,1,0,0,0
19911109,0,19911108,0,0,0,0
19911110,0,19911108,0,0,0,0
19911111,1,19911108,0,0,0,0
19911112,1,19911111,0,0,0,0
19911113,1,19911112,0,0,0,0
19911114,1,19911113,0,0,0,0
19911115,1,19911114,1,0,0,0
19911116,0,19911115,0,0,0,0
19911117,0,19911115,0,0,0,0
19911118,1,19911115,0,0,0,0
19911119,1,19911118,0,0,0,0
19911120,1,19911119,0,0,0,0
19911121,1,19911120,0,0,0,0
19911122,1,19911121,1,0,0,0
19911123,0,19911122,0,0,0,0
19911124,0,19911122,0,0,0,0
19911125,1,19911122,0,0,0,0
19911126,1,19911125,0,0,0,0
19911127,1,19911126,0,0,0,0
19911128,1,19911127,0,0,0,0
19911129,1,19911128,1,1,0,0
19911130,0,19911129,0,0,0,0
19911201,0,19911129,0,0,0,0
19911202,1,19911129,0,0,0,0
19911203,1,19911202,0,0,0,0
19911204,1,19911203,0,0,0,0
19911205,1,19911204,0,0,0,0
19911206,1,19911205,1,0,0,0
19911207,0,19911206,0,0,0,0
19911208,0,19911206,0,0,0,0
19911209,1,19911206,0,0,0,0
19911210,1,19911209,0,0,0,0
19911211,1,19911210,0,0,0,0
19911212,1,19911211,0,0,0,0
19911213,1,19911212,1,0,0,0
19911214,0,19911213,0,0,0,0
19911215,0,19911213,0,0,0,0
19911216,1,19911213,0,0,0,0
19911217,1,19911216,0,0,0,0
19911218,1,19911217,0,0,0,0
19911219,1,19911218,0,0,0,0
19911220,1,19911219,1,0,0,0
19911221,0,19911220,0,0,0,0
19911222,0,19911220,0,0,0,0
19911223,1,19911220,0,0,0,0
19911224,1,19911223,0,0,0,0
19911225,1,19911224,0,0,0,0
19911226,1,19911225,0,0,0,0
19911227,1,19911226,1,0,0,0
19911228,0,19911227,0,0,0,0
19911229,0,19911227,0,0,0,0
