secID,intoDate,secShortName,ticker,consID,consShortName,consTickerSymbol,consExchangeCD,outDate,isNew
000016.ZICN,20040102,上证50,000016,600000.XSHG,浦发银行,600000,XSHG,,1
000016.ZICN,20040102,上证50,000016,600004.XSHG,白云机场,600004,XSHG,20070123,0
000016.ZICN,20040102,上证50,000016,600006.XSHG,东风汽车,600006,XSHG,20050701,0
000016.ZICN,20040102,上证50,000016,600008.XSHG,首创股份,600008,XSHG,20050701,0
000016.ZICN,20040102,上证50,000016,600009.XSHG,上海机场,600009,XSHG,20100104,0
000016.ZICN,20040102,上证50,000016,600011.XSHG,华能国际,600011,XSHG,20080701,0
000016.ZICN,20040102,上证50,000016,600015.XSHG,华夏银行,600015,XSHG,20160613,0
000016.ZICN,20040102,上证50,000016,600016.XSHG,民生银行,600016,XSHG,,1
000016.ZICN,20040102,上证50,000016,DY600018.XSHG,上港集箱,DY600018,XSHG,20061023,0
000016.ZICN,20040102,上证50,000016,600019.XSHG,宝钢股份,600019,XSHG,20131216,0
000016.ZICN,20040102,上证50,000016,600026.XSHG,中远海能,600026,XSHG,20080102,0
000016.ZICN,20040102,上证50,000016,600028.XSHG,中国石化,600028,XSHG,,1
000016.ZICN,20040102,上证50,000016,600029.XSHG,南方航空,600029,XSHG,20070702,0
000016.ZICN,20040102,上证50,000016,600030.XSHG,中信证券,600030,XSHG,,1
000016.ZICN,20040102,上证50,000016,600033.XSHG,福建高速,600033,XSHG,20060703,0
000016.ZICN,20040102,上证50,000016,600036.XSHG,招商银行,600036,XSHG,,1
000016.ZICN,20040102,上证50,000016,600038.XSHG,中直股份,600038,XSHG,20040701,0
000016.ZICN,20040102,上证50,000016,600050.XSHG,中国联通,600050,XSHG,,1
000016.ZICN,20040102,上证50,000016,600098.XSHG,广州发展,600098,XSHG,20040701,0
000016.ZICN,20040102,上证50,000016,600100.XSHG,同方股份,600100,XSHG,20080701,0
000016.ZICN,20040102,上证50,000016,600104.XSHG,上汽集团,600104,XSHG,,1
000016.ZICN,20040102,上证50,000016,600171.XSHG,上海贝岭,600171,XSHG,20060703,0
000016.ZICN,20040102,上证50,000016,600221.XSHG,海航控股,600221,XSHG,20040701,0
000016.ZICN,20040102,上证50,000016,600350.XSHG,山东高速,600350,XSHG,20050701,0
