code,name,market,unknown1,unknown2,unknown3,price,bonus1,bonus2
395001,主板Ａ股,0,100,34391,2,463.000,0,0
395002,主板Ｂ股,0,100,1874,2,48.000,0,0
395003,中小板,0,100,748,2,918.000,0,0
395004,创业板,0,100,0,2,734.000,0,0
395005,存托凭证,0,100,0,2,0.000,0,0
395011,封闭基金,0,100,3910,2,1.000,0,0
395012,ＬＯＦｓ,0,100,661,2,237.000,0,0
395013,ＥＴＦｓ,0,100,4517,2,55.000,0,0
395014,分级基金,0,100,0,2,226.000,0,0
395021,可 转 债,0,100,33,2,53.000,0,0
395022,企业债,0,100,1,2,9.000,0,0
395024,公司债,0,100,0,2,547.000,0,0
395031,国债,0,100,0,2,3043.000,0,0
395032,债券回购,0,100,0,2,9.000,0,0
395041,股票权证,0,100,20539,2,0.000,0,0
395099,总 成 交,0,100,40837,2,2163.000,0,0
399001,深证成指,0,100,865681,2,7529.408,0,0
399002,深成指R,0,100,864321,2,9100.672,0,0
399003,成份Ｂ指,0,100,1360,2,4791.847,0,0
399004,深证100R,0,100,158326,2,4029.845,0,0
399005,中小板指,0,100,362063,2,5056.925,0,0
399006,创业板指,0,100,221185,2,1273.603,0,0
399007,深证300,0,100,316303,2,3182.873,0,0
399008,中小300,0,100,209214,2,974.289,0,0
399009,深证200,0,100,157976,2,3067.603,0,0
399010,深证700,0,100,277293,2,4555.086,0,0
399011,深证1000,0,100,593597,2,3581.523,0,0
399012,创业300,0,100,133268,2,1844.926,0,0
399013,深市精选,0,100,354358,2,3404.166,0,0
399015,中小创新,0,100,182426,2,1480.723,0,0
399016,深证创新,0,100,79078,2,2125.813,0,0
399017,SME创新,0,100,57745,2,1822.012,0,0
399018,创业创新,0,100,37363,2,2356.091,0,0
399050,创新引擎,0,100,51242,2,1685.364,0,0
399100,新 指 数,0,100,846001,2,5861.599,0,0
399101,中小板综,0,100,362063,2,7553.337,0,0
399102,创业板综,0,100,221185,2,1512.793,0,0
399103,乐富指数,0,100,267710,2,4812.138,0,0
399106,深证综指,0,100,865681,2,1292.802,0,0
399107,深证Ａ指,0,100,864321,2,1351.573,0,0
399108,深证Ｂ指,0,100,1360,2,882.323,0,0
399231,农林指数,0,100,12209,2,992.369,0,0
399232,采矿指数,0,100,11682,2,1490.583,0,0
399233,制造指数,0,100,500589,2,1397.322,0,0
399234,水电指数,0,100,14174,2,620.201,0,0
399235,建筑指数,0,100,17688,2,1105.216,0,0
399236,批零指数,0,100,26530,2,1307.148,0,0
399237,运输指数,0,100,9248,2,954.072,0,0
399238,餐饮指数,0,100,1205,2,1049.714,0,0
399239,IT指数,0,100,102459,2,1260.050,0,0
399240,金融指数,0,100,55989,2,863.502,0,0
399241,地产指数,0,100,29903,2,2189.161,0,0
399242,商务指数,0,100,21694,2,1041.072,0,0
399243,科研指数,0,100,7399,2,1322.873,0,0
399244,公共指数,0,100,12630,2,788.561,0,0
399248,文化指数,0,100,16980,2,937.184,0,0
399249,综企指数,0,100,1478,2,441.722,0,0
399297,新浪100,0,100,34460,2,2187.374,0,0
